j,s,run_1,run_2,run_3,run_4,run_5,average_absolute_error
30,600,-0.01200000000000001,0.06299999999999972,-0.07200000000000006,-0.027000000000000135,0.30299999999999994,0.09539999999999997
30,800,0.14849999999999985,-0.1665000000000001,0.03599999999999959,0.09224999999999972,0.21599999999999975,0.1318499999999998
30,1000,0.017999999999999572,-0.13500000000000023,0.04499999999999993,-0.09000000000000008,-0.04500000000000015,0.06659999999999999
31,10,-0.3600000000000001,-0.3600000000000001,-0.3600000000000001,1.4399999999999995,0.54,0.6119999999999999
31,200,0.3420000000000001,-0.33299999999999974,0.11700000000000021,0.16199999999999992,-0.06299999999999994,0.20339999999999997
31,400,0.15300000000000002,0.19800000000000018,0.22050000000000036,0.35550000000000015,-0.027000000000000135,0.19080000000000016
31,600,0.06299999999999972,-0.057000000000000384,-0.08700000000000019,0.0030000000000001137,0.017999999999999794,0.04560000000000004
31,800,0.13724999999999987,-0.0990000000000002,0.12599999999999967,0.22724999999999973,0.23849999999999993,0.1655999999999999
31,1000,0.1619999999999997,0.04499999999999993,0.06299999999999994,0.053999999999999604,0.008999999999999897,0.06659999999999981
32,10,-0.3600000000000001,0.54,-0.3600000000000001,-0.3600000000000001,1.4399999999999995,0.6119999999999999
32,200,-0.1080000000000001,-0.19799999999999995,0.252,0.2070000000000003,0.027000000000000135,0.1584000000000001
32,400,0.22050000000000036,-0.09450000000000003,0.018000000000000016,0.0405000000000002,-0.29699999999999993,0.1341000000000001
32,600,0.04800000000000004,0.017999999999999794,-0.19200000000000017,-0.2070000000000003,0.07800000000000007,0.10860000000000007
32,800,0.1822499999999998,0.10349999999999993,-0.042750000000000066,0.2610000000000001,-0.009000000000000119,0.1197
32,1000,0.10799999999999965,0.10799999999999965,-0.1260000000000001,-0.036000000000000476,0.04499999999999993,0.08459999999999997
33,10,0.54,-1.2600000000000002,-0.3600000000000001,-0.3600000000000001,0.54,0.6120000000000001
33,200,-0.3779999999999999,-0.15300000000000002,-0.06299999999999994,-0.06299999999999994,-0.018000000000000238,0.135
33,400,0.33299999999999996,-0.027000000000000135,-0.027000000000000135,0.26550000000000007,0.13050000000000028,0.15660000000000013
33,600,0.0030000000000001137,0.12299999999999978,0.1529999999999998,0.0030000000000001137,-0.17700000000000005,0.09179999999999996
33,800,0.15974999999999984,0.2722499999999999,0.11474999999999991,0.44099999999999984,0.013499999999999623,0.20024999999999982
33,1000,-0.05400000000000049,-0.036000000000000476,-4.440892098500626e-16,-0.06300000000000017,0.08099999999999996,0.04680000000000031
34,10,-1.2600000000000002,1.4399999999999995,-1.2600000000000002,0.54,2.3400000000000003,1.3679999999999999
34,200,-0.1080000000000001,-0.19799999999999995,0.11700000000000021,-0.19799999999999995,-0.06299999999999994,0.13680000000000003
34,400,0.1080000000000001,-0.07199999999999962,-0.34199999999999986,-0.09450000000000003,0.0405000000000002,0.13139999999999996
34,600,-0.027000000000000135,-0.2520000000000002,0.04800000000000004,0.017999999999999794,-0.2370000000000001,0.11640000000000006
34,800,0.15974999999999984,0.13724999999999987,0.1822499999999998,0.13724999999999987,0.2610000000000001,0.1754999999999999
34,1000,0.17100000000000004,-0.009000000000000119,-0.07200000000000051,0.053999999999999604,-4.440892098500626e-16,0.06120000000000014
35,10,0.54,1.4399999999999995,0.54,0.54,-1.2600000000000002,0.8640000000000001
35,200,-0.018000000000000238,-0.2430000000000001,-0.28800000000000026,0.387,0.11700000000000021,0.21060000000000018
35,400,0.018000000000000016,0.4005000000000001,-0.0045000000000001705,0.13050000000000028,0.4905000000000004,0.20880000000000018
35,600,-0.2070000000000003,-0.14700000000000024,-0.07200000000000006,-0.10200000000000009,-0.22199999999999998,0.15000000000000013
35,800,0.17100000000000004,0.058499999999999774,0.15974999999999984,0.15974999999999984,0.12599999999999967,0.13499999999999984
35,1000,0.053999999999999604,-0.18900000000000028,-0.04500000000000015,-0.08100000000000018,0.026999999999999913,0.07920000000000002
36,10,0.54,1.4399999999999995,1.4399999999999995,-0.3600000000000001,1.4399999999999995,1.0439999999999998
36,200,-0.06299999999999994,-0.15300000000000002,0.07199999999999984,0.11700000000000021,0.252,0.13140000000000002
36,400,0.26550000000000007,0.0405000000000002,0.1080000000000001,-0.027000000000000135,-0.13949999999999996,0.11610000000000009
36,600,0.1379999999999999,0.18299999999999983,0.24299999999999988,-0.11699999999999999,0.07800000000000007,0.15179999999999993
36,800,0.013499999999999623,0.17100000000000004,0.22724999999999973,0.17100000000000004,0.11474999999999991,0.13949999999999987
36,1000,0.053999999999999604,-4.440892098500626e-16,0.053999999999999604,-0.18000000000000038,-0.17100000000000026,0.09180000000000006
37,10,0.54,0.54,0.54,0.54,1.4399999999999995,0.72
37,200,-0.15300000000000002,-0.018000000000000238,0.07199999999999984,0.3420000000000001,0.387,0.19440000000000004
37,400,-0.04949999999999988,-0.3869999999999998,0.06300000000000017,0.19800000000000018,0.22050000000000036,0.18360000000000007
37,600,-0.10200000000000009,-0.2070000000000003,0.032999999999999696,0.017999999999999794,0.16800000000000015,0.1056
37,800,0.15974999999999984,0.058499999999999774,0.21599999999999975,0.024749999999999828,0.08099999999999996,0.10799999999999983
37,1000,0.07199999999999962,-0.04500000000000015,0.15300000000000002,-0.2070000000000003,0.03599999999999959,0.10259999999999994
38,10,0.54,1.4399999999999995,0.54,-1.2600000000000002,0.54,0.8640000000000001
38,200,0.027000000000000135,0.7469999999999999,-0.018000000000000238,0.5670000000000002,0.07199999999999984,0.28620000000000007
38,400,-0.0045000000000001705,0.018000000000000016,0.33299999999999996,0.13050000000000028,-0.0045000000000001705,0.09810000000000012
38,600,-0.13200000000000012,0.0030000000000001137,-0.01200000000000001,0.0030000000000001137,-0.10200000000000009,0.05040000000000009
38,800,0.2610000000000001,-0.02024999999999988,-0.03149999999999986,-0.08775000000000022,-0.05400000000000027,0.09090000000000006
38,1000,-0.14400000000000035,0.008999999999999897,-0.05400000000000049,0.09899999999999998,-0.01800000000000046,0.06480000000000023
39,10,-0.3600000000000001,-0.3600000000000001,1.4399999999999995,1.4399999999999995,0.54,0.8279999999999997
39,200,-0.19799999999999995,0.252,-0.018000000000000238,0.07199999999999984,-0.018000000000000238,0.11160000000000006
39,400,0.0405000000000002,0.26550000000000007,-0.04949999999999988,-0.1844999999999999,-0.16199999999999992,0.1404
39,600,-0.08700000000000019,0.21299999999999986,-0.07200000000000006,0.19799999999999995,0.12299999999999978,0.13859999999999997
39,800,0.21599999999999975,0.23849999999999993,0.058499999999999774,0.11474999999999991,-0.06525000000000003,0.1385999999999999
39,1000,-0.18900000000000028,-0.05400000000000049,-0.18900000000000028,0.17100000000000004,0.08999999999999964,0.13860000000000014
40,10,-0.3600000000000001,1.4399999999999995,1.4399999999999995,3.2399999999999998,-0.3600000000000001,1.3679999999999999
40,200,-0.018000000000000238,-0.33299999999999974,-0.33299999999999974,-0.42300000000000004,0.3420000000000001,0.28979999999999995
40,400,-0.0045000000000001705,-0.07199999999999962,-0.20699999999999985,-0.07199999999999962,-0.04949999999999988,0.08099999999999982
40,600,0.16800000000000015,0.1379999999999999,0.19799999999999995,-0.08700000000000019,-0.13200000000000012,0.14460000000000006
40,800,-0.06525000000000003,-0.05400000000000027,0.20475,0.013499999999999623,0.10349999999999993,0.08819999999999997
40,1000,-0.08100000000000018,-0.0990000000000002,-0.26100000000000034,-0.13500000000000023,-0.2250000000000003,0.16020000000000026
41,10,0.54,2.3400000000000003,0.54,1.4399999999999995,1.4399999999999995,1.2599999999999998
41,200,-0.15300000000000002,-0.15300000000000002,-0.28800000000000026,0.29700000000000015,0.2070000000000003,0.21960000000000016
41,400,0.08549999999999991,-0.3869999999999998,0.1080000000000001,-0.027000000000000135,-0.04949999999999988,0.13139999999999996
41,600,0.07800000000000007,0.16800000000000015,0.04800000000000004,-0.17700000000000005,0.09299999999999997,0.11280000000000005
41,800,0.13724999999999987,-0.03149999999999986,0.04724999999999957,0.22724999999999973,-0.03149999999999986,0.09494999999999978
41,1000,0.03599999999999959,0.10799999999999965,0.10799999999999965,0.19799999999999973,-0.17100000000000026,0.12419999999999978
42,10,0.54,0.54,1.4399999999999995,-1.2600000000000002,-1.2600000000000002,1.008
42,200,-0.33299999999999974,-0.15300000000000002,-0.3779999999999999,0.07199999999999984,0.29700000000000015,0.24659999999999993
42,400,-0.0045000000000001705,-0.04949999999999988,-0.13949999999999996,-0.11699999999999977,0.26550000000000007,0.11519999999999997
42,600,-0.07200000000000006,-0.19200000000000017,0.22799999999999976,0.1529999999999998,-0.13200000000000012,0.15539999999999998
42,800,-0.03149999999999986,-0.02024999999999988,0.058499999999999774,0.2722499999999999,0.2722499999999999,0.13094999999999984
42,1000,-0.19800000000000018,-0.11700000000000021,-0.05400000000000049,-0.04500000000000015,-4.440892098500626e-16,0.08280000000000029
43,10,-1.2600000000000002,0.54,-0.3600000000000001,0.54,1.4399999999999995,0.828
43,200,0.07199999999999984,-0.1080000000000001,0.027000000000000135,0.11700000000000021,-0.28800000000000026,0.1224000000000001
43,400,-0.1844999999999999,-0.1844999999999999,-0.1844999999999999,0.15300000000000002,0.26550000000000007,0.19439999999999996
43,600,-0.04200000000000004,0.0030000000000001137,-0.2370000000000001,-0.08700000000000019,-0.3270000000000004,0.13920000000000016
43,800,-0.06525000000000003,0.08099999999999996,0.17100000000000004,-0.18900000000000028,0.08099999999999996,0.11745000000000005
43,1000,-0.01800000000000046,-0.14400000000000035,-0.07200000000000051,-0.11700000000000021,-0.01800000000000046,0.0738000000000004
44,10,0.54,3.2399999999999998,-1.2600000000000002,-1.2600000000000002,-0.3600000000000001,1.3320000000000003
44,200,0.5670000000000002,0.07199999999999984,0.4320000000000004,0.027000000000000135,-0.19799999999999995,0.2592000000000001
