i,s,Sampling Method,Estimated Area,CI Upper Area,CI Lower Area
45,49,Orthogonal Sampling,1.6102,1.67435,1.54606
45,121,Orthogonal Sampling,1.58926,1.62384,1.55467
45,169,Orthogonal Sampling,1.62426,1.6588,1.58972
45,289,Orthogonal Sampling,1.60173,1.62304,1.58042
45,361,Orthogonal Sampling,1.60886,1.62522,1.59251
45,529,Orthogonal Sampling,1.58563,1.60078,1.57049
50,49,Orthogonal Sampling,1.6102,1.67435,1.54606
50,121,Orthogonal Sampling,1.57934,1.6163,1.54237
50,169,Orthogonal Sampling,1.61538,1.65016,1.58061
50,289,Orthogonal Sampling,1.59343,1.61588,1.57097
50,361,Orthogonal Sampling,1.60388,1.6196,1.58816
50,529,Orthogonal Sampling,1.57826,1.59458,1.56194
55,49,Orthogonal Sampling,1.60408,1.6663,1.54186
55,121,Orthogonal Sampling,1.57438,1.61234,1.53642
55,169,Orthogonal Sampling,1.60296,1.63889,1.56702
55,289,Orthogonal Sampling,1.57993,1.60337,1.55649
55,361,Orthogonal Sampling,1.59806,1.61416,1.58196
55,529,Orthogonal Sampling,1.57032,1.5871,1.55354
60,49,Orthogonal Sampling,1.59796,1.65534,1.54058
60,121,Orthogonal Sampling,1.56942,1.60894,1.52991
60,169,Orthogonal Sampling,1.59763,1.63148,1.56379
60,289,Orthogonal Sampling,1.57578,1.59814,1.55342
60,361,Orthogonal Sampling,1.59224,1.60823,1.57626
60,529,Orthogonal Sampling,1.56692,1.58412,1.54971
65,49,Orthogonal Sampling,1.59796,1.65534,1.54058
65,121,Orthogonal Sampling,1.56694,1.60618,1.52771
65,169,Orthogonal Sampling,1.59408,1.6287,1.55947
65,289,Orthogonal Sampling,1.57474,1.59732,1.55216
65,361,Orthogonal Sampling,1.58809,1.6054,1.57078
65,529,Orthogonal Sampling,1.56011,1.57613,1.5441
70,49,Orthogonal Sampling,1.58571,1.64118,1.53025
70,121,Orthogonal Sampling,1.5595,1.59911,1.5199
70,169,Orthogonal Sampling,1.58343,1.61765,1.54921
70,289,Orthogonal Sampling,1.57059,1.5919,1.54928
70,361,Orthogonal Sampling,1.58061,1.59765,1.56357
70,529,Orthogonal Sampling,1.55558,1.57164,1.53952
75,49,Orthogonal Sampling,1.57959,1.63241,1.52677
75,121,Orthogonal Sampling,1.5595,1.59911,1.5199
75,169,Orthogonal Sampling,1.57278,1.60848,1.53708
75,289,Orthogonal Sampling,1.56747,1.58804,1.54691
75,361,Orthogonal Sampling,1.57479,1.59244,1.55715
75,529,Orthogonal Sampling,1.55274,1.56882,1.53666
80,49,Orthogonal Sampling,1.57959,1.63241,1.52677
80,121,Orthogonal Sampling,1.55455,1.59406,1.51503
80,169,Orthogonal Sampling,1.56923,1.60606,1.5324
80,289,Orthogonal Sampling,1.56332,1.58225,1.5444
80,361,Orthogonal Sampling,1.57396,1.59137,1.55655
80,529,Orthogonal Sampling,1.55047,1.56688,1.53406
85,49,Orthogonal Sampling,1.57347,1.62952,1.51742
85,121,Orthogonal Sampling,1.54959,1.58824,1.51093
85,169,Orthogonal Sampling,1.56568,1.60319,1.52817
85,289,Orthogonal Sampling,1.56125,1.58121,1.54128
85,361,Orthogonal Sampling,1.56814,1.58549,1.5508
85,529,Orthogonal Sampling,1.54764,1.56385,1.53142
90,49,Orthogonal Sampling,1.57347,1.62952,1.51742
90,121,Orthogonal Sampling,1.54959,1.58824,1.51093
90,169,Orthogonal Sampling,1.56391,1.60101,1.5268
90,289,Orthogonal Sampling,1.56021,1.58031,1.5401
90,361,Orthogonal Sampling,1.56482,1.58134,1.5483
